Date,Open,High,Low,Close,Adj Close,Volume
2018-09-18,2910.000000,3000.000000,2910.000000,2960.000000,2842.617432,4052500
2018-09-19,2970.000000,3020.000000,2960.000000,2990.000000,2871.427734,4756700
2018-09-20,3000.000000,3000.000000,2860.000000,2920.000000,2804.203613,8065300
2018-09-21,2900.000000,2970.000000,2830.000000,2850.000000,2736.979492,11863200
2018-09-24,2850.000000,2890.000000,2780.000000,2810.000000,2698.565674,10457800
2018-09-25,2820.000000,2840.000000,2770.000000,2790.000000,2679.359131,4363600
2018-09-26,2790.000000,2840.000000,2790.000000,2810.000000,2698.565674,4273200
2018-09-27,2840.000000,2870.000000,2800.000000,2820.000000,2708.169189,3706100
2018-09-28,2820.000000,2850.000000,2760.000000,2760.000000,2650.548828,6762500
2018-10-01,2790.000000,2820.000000,2750.000000,2800.000000,2688.962646,10859200
2018-10-02,2800.000000,2800.000000,2700.000000,2750.000000,2640.945313,9743700
2018-10-03,2750.000000,2880.000000,2740.000000,2860.000000,2746.583008,14016000
2018-10-04,2870.000000,2870.000000,2760.000000,2790.000000,2679.359131,6546700
2018-10-05,2790.000000,2920.000000,2760.000000,2870.000000,2756.186523,8638400
2018-10-08,2840.000000,2970.000000,2840.000000,2930.000000,2813.807129,10076200
2018-10-09,2950.000000,2990.000000,2860.000000,2880.000000,2765.790039,15968600
2018-10-10,2880.000000,2900.000000,2830.000000,2830.000000,2717.772705,9933100
2018-10-11,2750.000000,2800.000000,2720.000000,2750.000000,2640.945313,9511500
2018-10-12,2710.000000,2870.000000,2660.000000,2770.000000,2660.152100,15622400
2018-10-15,2770.000000,2830.000000,2760.000000,2760.000000,2650.548828,2780100
2018-10-16,2760.000000,2790.000000,2740.000000,2790.000000,2679.359131,2483000
2018-10-17,2820.000000,2880.000000,2800.000000,2830.000000,2717.772705,8749500
2018-10-18,2830.000000,2840.000000,2760.000000,2830.000000,2717.772705,4661200
2018-10-19,2830.000000,2830.000000,2750.000000,2780.000000,2669.755371,9249500
2018-10-22,2800.000000,2900.000000,2780.000000,2870.000000,2756.186523,10679900
2018-10-23,2870.000000,2870.000000,2780.000000,2820.000000,2708.169189,4845500
2018-10-24,2790.000000,2810.000000,2740.000000,2760.000000,2650.548828,3900500
2018-10-25,2680.000000,2780.000000,2680.000000,2740.000000,2631.341553,3488300
2018-10-26,2750.000000,2780.000000,2720.000000,2760.000000,2650.548828,4862700
2018-10-29,2760.000000,2800.000000,2670.000000,2680.000000,2573.721191,7137900
2018-10-30,2650.000000,2740.000000,2600.000000,2630.000000,2525.704102,6401200
2018-10-31,2640.000000,2660.000000,2580.000000,2620.000000,2516.100586,4664500
2018-11-01,2660.000000,2670.000000,2190.000000,2220.000000,2131.963135,52029600
2018-11-02,2250.000000,2310.000000,2000.000000,2090.000000,2007.118408,88668000
2018-11-05,2070.000000,2140.000000,2040.000000,2100.000000,2016.721680,28898300
2018-11-06,2130.000000,2240.000000,2110.000000,2230.000000,2141.566406,38982100
