TICKER,Date,Open,High,Low,Close,Adj Close,Volume,H-L,C-O,7 DAYS MA,14 DAYS MA,21 DAYS MA,7 DAYS STD DEV,Next Day Close
EXCL.JK,2018-10-17,2820,2880,2800,2830,2717.772705,8749500,80,10,2815.714286,2811.428571,2832.857143,67.78818551,2830
EXCL.JK,2018-10-18,2830,2840,2760,2830,2717.772705,4661200,80,0,2801.428571,2812.142857,2826.666667,47.05619741,2780
EXCL.JK,2018-10-19,2830,2830,2750,2780,2669.755371,9249500,80,-50,2794.285714,2817.142857,2819.047619,35.52329886,2870
EXCL.JK,2018-10-22,2800,2900,2780,2870,2756.186523,10679900,120,70,2787.142857,2815.714286,2812.380952,31.99702367,2820
EXCL.JK,2018-10-23,2870,2870,2780,2820,2708.169189,4845500,90,-50,2804.285714,2824.285714,2813.333333,39.94043184,2760
EXCL.JK,2018-10-24,2790,2810,2740,2760,2650.548828,3900500,70,-30,2811.428571,2821.428571,2813.809524,37.16116765,2740
EXCL.JK,2018-10-25,2680,2780,2680,2740,2631.341553,3488300,100,60,2811.428571,2819.285714,2812.380952,37.16116765,2760
EXCL.JK,2018-10-26,2750,2780,2720,2760,2650.548828,4862700,60,10,2804.285714,2810,2809.047619,45.77377082,2680
EXCL.JK,2018-10-29,2760,2800,2670,2680,2573.721191,7137900,130,-80,2794.285714,2797.857143,2806.190476,46.85336802,2630
EXCL.JK,2018-10-30,2650,2740,2600,2630,2525.704102,6401200,140,-20,2772.857143,2783.571429,2802.380952,60.19808572,2620
EXCL.JK,2018-10-31,2640,2660,2580,2620,2516.100586,4664500,80,-20,2751.428571,2769.285714,2794.285714,80.5043625,2220
EXCL.JK,2018-11-01,2660,2670,2190,2220,2131.963135,52029600,480,-440,2715.714286,2760,2788.095238,74.35436388,2090
EXCL.JK,2018-11-02,2250,2310,2000,2090,2007.118408,88668000,310,-160,2630,2720.714286,2757.619048,190,2100
EXCL.JK,2018-11-05,2070,2140,2040,2100,2016.72168,28898300,100,30,2534.285714,2672.857143,2724.285714,266.8243581,2230
EXCL.JK,2018-11-06,2130,2240,2110,2230,2141.566406,38982100,130,100,2442.857143,2623.571429,2687.619048,292.9570097,2160
EXCL.JK,2018-11-07,2250,2270,2130,2160,2074.342529,25946000,140,-90,2367.142857,2580.714286,2654.285714,264.4311054,2270
EXCL.JK,2018-11-08,2200,2280,2140,2270,2179.980225,32014800,140,70,2292.857143,2532.857143,2620,233.0746866,2270
EXCL.JK,2018-11-09,2260,2300,2200,2270,2179.980225,14170300,100,10,2241.428571,2496.428571,2593.333333,179.9470822,2190
EXCL.JK,2018-11-12,2270,2280,2160,2190,2103.152832,13115400,120,-80,2191.428571,2453.571429,2570.47619,75.5928946,2120
EXCL.JK,2018-11-13,2150,2150,2090,2120,2035.928833,20623800,60,-30,2187.142857,2408.571429,2542.857143,74.54624643,2140
EXCL.JK,2018-11-14,2120,2160,2100,2140,2055.135498,15557900,60,20,2191.428571,2362.857143,2512.380952,68.66065623,2160
EXCL.JK,2018-11-15,2140,2200,2140,2160,2074.342529,10707200,60,20,2197.142857,2320,2481.428571,61.02302454,2200
EXCL.JK,2018-11-16,2160,2240,2130,2200,2112.756104,16645400,110,40,2187.142857,2277.142857,2449.52381,60.47431568,2190
EXCL.JK,2018-11-19,2210,2240,2140,2190,2103.152832,9953700,100,-20,2192.857143,2242.857143,2419.52381,59.36168397,2190
EXCL.JK,2018-11-20,2190,2190,2190,2190,2103.152832,0,0,0,2181.428571,2211.428571,2391.428571,48.79500365,2180
EXCL.JK,2018-11-21,2170,2210,2150,2180,2093.549316,4971200,60,10,2170,2180.714286,2359.047619,30.55050463,2210
EXCL.JK,2018-11-22,2210,2280,2180,2210,2122.359619,10282500,100,0,2168.571429,2177.857143,2328.571429,29.68084199,2220
EXCL.JK,2018-11-23,2210,2250,2210,2220,2131.963135,4753800,40,10,2181.428571,2186.428571,2302.380952,24.10295378,2210
EXCL.JK,2018-11-26,2240,2250,2180,2210,2122.359619,5444200,70,-30,2192.857143,2195,2277.619048,19.7604704,2200
EXCL.JK,2018-11-27,2210,2220,2180,2200,2112.756104,4738600,40,-10,2200,2193.571429,2251.428571,14.14213562,2030
EXCL.JK,2018-11-28,2180,2190,2010,2030,1949.497681,18635700,180,-150,2200,2196.428571,2228.571429,14.14213562,2050
EXCL.JK,2018-11-29,2040,2100,2030,2050,1968.704468,12457900,70,10,2177.142857,2179.285714,2200,66.2606685,2040
EXCL.JK,2018-11-30,2040,2060,1950,2040,1959.101196,17929200,110,0,2157.142857,2163.571429,2172.857143,81.18174789,2020
EXCL.JK,2018-12-03,2000,2050,1985,2020,1939.894287,10873300,65,20,2137.142857,2152.857143,2164.285714,91.23491395,1980
EXCL.JK,2018-12-04,2010,2010,1975,1980,1901.480591,11990300,35,-30,2110,2145.714286,2160.952381,94.16297928,1890
EXCL.JK,2018-12-05,1965,1965,1875,1890,1815.049683,24077800,90,-75,2075.714286,2134.285714,2155.238095,91.07819769,1950
EXCL.JK,2018-12-06,1890,1985,1880,1950,1872.670288,22524900,105,60,2030,2115,2139.047619,92.73618495,1960
EXCL.JK,2018-12-07,1960,2020,1955,1960,1882.273682,15009300,65,0,1994.285714,2097.142857,2129.047619,57.98193479,1915
EXCL.JK,2018-12-10,1960,1970,1900,1915,1839.058105,6676500,70,-45,1984.285714,2080.714286,2114.285714,56.82051943,1880
EXCL.JK,2018-12-11,1925,1925,1875,1880,1805.446167,7964300,50,-45,1965,2061.071429,2097.380952,53.61902647,1915
EXCL.JK,2018-12-12,1885,1935,1880,1915,1839.058105,11163500,55,30,1942.142857,2039.642857,2082.619048,50.320402,1945
EXCL.JK,2018-12-13,1940,1990,1915,1945,1867.868652,20301500,75,5,1927.142857,2018.571429,2072.857143,37.17718194,1920
EXCL.JK,2018-12-14,1945,1960,1920,1920,1843.859863,8055500,40,-25,1922.142857,1998.928571,2063.571429,30.66718426,1910
EXCL.JK,2018-12-17,1930,1935,1890,1910,1834.256592,7817200,45,-20,1926.428571,1978.214286,2052.142857,27.34262328,1935
EXCL.JK,2018-12-18,1920,1935,1890,1935,1858.265015,5999700,45,15,1920.714286,1957.5,2038.333333,25.72750983,2040
EXCL.JK,2018-12-19,1950,2040,1940,2040,1959.101196,27021900,100,90,1917.142857,1950.714286,2026.190476,20.58663459,2010
EXCL.JK,2018-12-20,2020,2100,2000,2010,1930.291016,31897000,100,-10,1935,1950,2019.047619,50.66228051,2050
EXCL.JK,2018-12-21,2010,2060,2000,2050,1968.704468,19388400,60,40,1953.571429,1947.857143,2010.952381,50.96684263,2050
EXCL.JK,2018-12-24,2050,2050,2050,2050,1968.704468,0,0,0,1972.857143,1950,2003.333333,58.86829529,2050
EXCL.JK,2018-12-25,2050,2050,2050,2050,1968.704468,0,0,0,1987.857143,1955,1995.238095,63.7610868,1940
EXCL.JK,2018-12-26,2050,2050,1930,1940,1863.066772,8224700,120,-110,2006.428571,1966.428571,1987.619048,59.49189621,2000
EXCL.JK,2018-12-27,1970,2040,1970,2000,1920.687378,15916700,70,30,2010.714286,1965.714286,1975.238095,51.99587896,1980
EXCL.JK,2018-12-28,2020,2020,1955,1980,1901.480591,22007600,65,-40,2020,1968.571429,1973.809524,40.82482905,1980
EXCL.JK,2018-12-31,1980,1980,1980,1980,1901.480591,0,0,0,2011.428571,1973.214286,1970.47619,42.20133151,1980
