TICKER,Date,Open,High,Low,Close,Adj Close,Volume,H-L,C-O,7 DAYS MA,14 DAYS MA,21 DAYS MA,7 DAYS STD DEV,Next Day Close
ISAT.JK,2018-10-17,2620,2670,2600,2600,2253.762695,389400,70,-20,2728.571429,2807.857143,2863.333333,53.67450401,2650
ISAT.JK,2018-10-18,2600,2680,2600,2650,2297.104248,368600,80,50,2702.857143,2779.285714,2846.190476,66.51172471,2680
ISAT.JK,2018-10-19,2650,2720,2650,2680,2323.109131,259900,70,30,2688.571429,2750.714286,2830.952381,65.42898731,2840
ISAT.JK,2018-10-22,2750,3240,2690,2840,2461.802246,14470000,550,90,2677.142857,2730,2816.666667,57.36267245,2660
ISAT.JK,2018-10-23,2800,2880,2660,2660,2305.772461,3686200,220,-140,2691.428571,2727.142857,2809.047619,82.54868693,2620
ISAT.JK,2018-10-24,2660,2680,2610,2620,2271.099365,1060600,70,-40,2678.571429,2717.142857,2793.809524,78.83074092,2510
ISAT.JK,2018-10-25,2600,2600,2490,2510,2175.747803,2088600,110,-90,2667.142857,2707.857143,2778.095238,80.97618698,2470
ISAT.JK,2018-10-26,2570,2570,2470,2470,2141.074463,943000,100,-100,2651.428571,2690,2755.714286,100.0714031,2450
ISAT.JK,2018-10-29,2470,2570,2450,2450,2123.738037,1378800,120,-20,2632.857143,2667.857143,2730.47619,121.0666876,2440
ISAT.JK,2018-10-30,2450,2470,2420,2440,2115.06958,1077400,50,-10,2604.285714,2646.428571,2701.904762,138.6671245,2410
ISAT.JK,2018-10-31,2440,2450,2400,2410,2089.064453,771800,50,-30,2570,2623.571429,2676.666667,146.2873884,2430
ISAT.JK,2018-11-01,2410,2430,2400,2430,2106.401123,636500,30,20,2508.571429,2600,2654.285714,95.46876827,2350
ISAT.JK,2018-11-02,2450,2450,2320,2350,2037.054565,1519100,130,-100,2475.714286,2577.142857,2636.666667,71.14706432,2350
ISAT.JK,2018-11-05,2350,2420,2350,2350,2037.054565,241800,70,0,2437.142857,2552.142857,2617.619048,49.90467103,2350
ISAT.JK,2018-11-06,2370,2400,2350,2350,2037.054565,754800,50,-20,2414.285714,2532.857143,2598.095238,47.55948656,2320
