TICKER;Date;Open;High;Low;Close;Adj Close;Volume;H-L;C-O;7 DAYS MA;14 DAYS MA;21 DAYS MA;7 DAYS STD DEV;NEXT DAY CLOSE
TLKM.JK;18/09/18;3470;3590;3440;3570;3077.475586;132571400;150;100;0;0;0;0;3550
TLKM.JK;19/09/18;3580;3610;3540;3550;3060.234619;88139600;70;-30;0;0;0;0;3600
TLKM.JK;20/09/18;3590;3640;3570;3600;3103.33667;80194400;70;10;0;0;0;0;3600
TLKM.JK;21/09/18;3630;3630;3550;3600;3103.33667;98577800;80;-30;0;0;0;0;3540
TLKM.JK;24/09/18;3590;3600;3510;3540;3051.614258;48101000;90;-50;0;0;0;0;3560
TLKM.JK;25/09/18;3540;3560;3520;3560;3068.855225;25350200;40;20;0;0;0;0;3540
TLKM.JK;26/09/18;3550;3590;3540;3540;3051.614258;51055900;50;-10;0;0;0;0;3580
TLKM.JK;27/09/18;3580;3590;3550;3580;3086.095703;49549400;40;0;3565.714286;0;0;25.72750983;3640
TLKM.JK;28/09/18;3600;3670;3600;3640;3137.818359;116695900;70;40;3567.142857;0;0;26.27691364;3670
TLKM.JK;01/10/18;3610;3690;3610;3670;3163.679199;45504900;80;60;3580;0;0;36.51483717;3620
TLKM.JK;02/10/18;3640;3670;3580;3620;3120.577148;61393800;90;-20;3590;0;0;50;3600
TLKM.JK;03/10/18;3570;3640;3570;3600;3103.33667;46611900;70;30;3592.857143;0;0;51.22313465;3600
TLKM.JK;04/10/18;3570;3600;3510;3600;3103.33667;82550500;90;30;3601.428571;0;0;45.61745698;3530
TLKM.JK;05/10/18;3540;3600;3530;3530;3042.994141;59270300;70;-10;3607.142857;0;0;41.91828786;3520
TLKM.JK;08/10/18;3500;3530;3470;3520;3034.373535;71886100;60;20;3605.714286;3585.714286;0;44.66808811;3590
TLKM.JK;09/10/18;3530;3620;3520;3590;3094.716309;58708100;100;60;3597.142857;3582.142857;0;54.98917642;3600
TLKM.JK;10/10/18;3640;3640;3560;3600;3103.33667;31937500;80;-40;3590;3585;0;51.63977795;3570
TLKM.JK;11/10/18;3500;3640;3480;3570;3077.475586;114418300;160;70;3580;3585;0;38.72983346;3680
TLKM.JK;12/10/18;3630;3700;3620;3680;3172.299805;87991200;80;50;3572.857143;3582.857143;0;34.50327797;3660
TLKM.JK;15/10/18;3700;3750;3650;3660;3155.058594;68466400;100;-40;3584.285714;3592.857143;0;53.18431563;3780
TLKM.JK;16/10/18;3680;3780;3680;3780;3258.503418;98103600;100;100;3592.857143;3600;0;60.47431568;3900
TLKM.JK;17/10/18;3800;3910;3800;3900;3361.947998;122953700;110;100;3628.571429;3617.142857;3600;85.71825388;3760
TLKM.JK;18/10/18;3840;3880;3720;3760;3241.262451;102322600;160;-80;3682.857143;3640;3615.714286;119.2636136;3730
TLKM.JK;19/10/18;3700;3770;3690;3730;3215.401611;140162100;80;30;3707.142857;3648.571429;3625.714286;114.4136189;3800
TLKM.JK;22/10/18;3730;3830;3730;3800;3275.743896;57680500;100;70;3725.714286;3652.857143;3631.904762;104.2204623;3700
TLKM.JK;23/10/18;3800;3800;3670;3700;3189.540283;53266800;130;-100;3758.571429;3665.714286;3641.428571;80.5043625;3520
TLKM.JK;24/10/18;3700;3710;3520;3520;3034.373535;117672200;190;-180;3761.428571;3672.857143;3649.047619;77.55182599;3550
TLKM.JK;25/10/18;3490;3580;3460;3550;3060.234619;120108900;120;60;3741.428571;3667.142857;3647.142857;116.3942398;3630
TLKM.JK;26/10/18;3580;3660;3580;3630;3129.197754;100554100;80;50;3708.571429;3668.571429;3647.619048;134.713099;3660
TLKM.JK;29/10/18;3630;3660;3580;3660;3155.058594;54304000;80;30;3670;3676.428571;3650;106.4581295;3800
TLKM.JK;30/10/18;3640;3850;3630;3800;3275.743896;158933000;220;160;3655.714286;3681.428571;3650.952381;98.80235201;3850
TLKM.JK;31/10/18;3850;3870;3730;3850;3318.845947;140351400;140;0;3665.714286;3695.714286;3657.142857;110.4320519;3880
TLKM.JK;01/11/18;3850;3880;3810;3880;3344.707275;69586900;70;30;3672.857143;3715.714286;3668.095238;121.6161017;3940
TLKM.JK;02/11/18;3900;3940;3880;3940;3396.429443;98072700;60;40;3698.571429;3730;3681.428571;145.0779757;3890
TLKM.JK;05/11/18;3850;3910;3850;3890;3353.327637;60121700;60;40;3758.571429;3750;3697.619048;145.7656305;3890
TLKM.JK;06/11/18;3930;3930;3820;3890;3353.327637;58088000;110;-40;3807.142857;3757.857143;3714.761905;118.8436348;3950
TLKM.JK;07/11/18;3900;3950;3870;3950;3405.049561;98350100;80;50;3844.285714;3757.142857;3732.380952;91.8072515;4000
TLKM.JK;08/11/18;3970;4000;3920;4000;3448.151611;74004300;80;30;3885.714286;3770.714286;3749.52381;51.26959556;3920
TLKM.JK;09/11/18;3960;3960;3920;3920;3379.188721;45243300;40;-40;3914.285714;3790;3768.571429;51.26959556;3860
TLKM.JK;12/11/18;3890;3950;3860;3860;3327.466553;57256000;90;-30;3924.285714;3798.571429;3785.238095;42.76179871;3830
TLKM.JK;13/11/18;3810;3850;3750;3830;3301.605225;89819400;100;20;3921.428571;3810;3793.809524;46.70066789;3750
